pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens angļu valodā 9.klasei 9. klase,Rāmuļu pamatskola,78.83,3
Eksāmens angļu valodā 9.klasei 9. klase,Randenes pamatskola,54.36,7
Eksāmens angļu valodā 9.klasei 9. klase,Rankas pamatskola,76.00,5
Eksāmens angļu valodā 9.klasei 9. klase,Raunas pamatskola,77.64,14
Eksāmens angļu valodā 9.klasei 9. klase,Rekavas vidusskola,74.80,5
Eksāmens angļu valodā 9.klasei 9. klase,Remtes pamatskola,72.00,3
Eksāmens angļu valodā 9.klasei 9. klase,Rencēnu pamatskola,71.75,6
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes 2. vidusskola,56.26,45
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes 3. vidusskola,66.29,35
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes 4. vidusskola,62.89,18
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes 5. vidusskola,74.81,18
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes 6. pamatskola,57.22,63
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes Katoļu vidusskola,72.29,14
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes pamatskola-attīstības centrs,54.63,4
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes Valsts 1. ģimnāzija,75.86,56
Eksāmens angļu valodā 9.klasei 9. klase,Rēzeknes valsts poļu ģimnāzija,67.20,43
Eksāmens angļu valodā 9.klasei 9. klase,Rēznas pamatskola,68.25,4
Eksāmens angļu valodā 9.klasei 9. klase,Riebiņu vidusskola,63.70,5
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 1. Kristīgā pamatskola,77.29,14
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 1. Tālmācības vidusskola,75.36,78
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 10. vidusskola,72.37,60
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 13. vidusskola,72.31,54
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 14. vidusskola,65.83,6
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 15. vidusskola,83.23,13
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 18. vidusskola,59.50,7
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 21. vidusskola,64.21,38
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 22. vidusskola,64.38,52
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 25. vidusskola,73.25,53
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 28. vidusskola,68.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 31. vidusskola,81.02,26
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 33. vidusskola,58.02,49
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 34. vidusskola,77.23,108
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 40. vidusskola,78.81,70
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 41. vidusskola,83.57,58
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 45. vidusskola,78.84,60
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 46. vidusskola,63.77,32
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 47. vidusskola,76.33,26
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 49. vidusskola,84.87,88
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 51. vidusskola,58.75,40
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 6. vidusskola,81.67,73
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 63. vidusskola,47.83,47
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 64. vidusskola,82.28,113
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 65. pamatskola,60.85,20
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 66. vidusskola,66.19,16
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 69. pamatskola,77.27,26
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 71. vidusskola,65.07,47
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 72. vidusskola,63.51,100
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 74. vidusskola,63.90,52
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 75. vidusskola,57.15,36
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 80. vidusskola,65.13,44
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 84. vidusskola,85.49,77
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 85. vidusskola,72.58,25
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 86. vidusskola,61.73,30
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 88. vidusskola,64.37,107
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 89. vidusskola,64.57,45
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 9. vidusskola,26.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 92. vidusskola,55.01,47
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 93. vidusskola,72.85,37
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 95. vidusskola,73.87,82
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas 96. vidusskola,61.95,67
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Angļu ģimnāzija,86.86,86
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Anniņmuižas vidusskola,64.30,43
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Arkādijas vidusskola,47.44,62
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Austrumu pamatskola,57.93,20
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Baltmuižas pamatskola,52.91,34
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Bolderājas Jaunā pamatskola,80.00,12
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Centra daiļamatniecības pamatskola,87.29,26
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Centra humanitārā vidusskola,89.29,87
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Čiekurkalna pamatskola,63.77,13
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Daugavas pamatskola,34.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Daugavgrīvas vidusskola,60.64,30
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Doma kora skola,89.32,17
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Franču licejs,88.12,49
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Hanzas vidusskola,81.32,61
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Igauņu pamatskola,83.98,28
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Imantas vidusskola,83.24,52
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Itas Kozakēvičas Poļu vidusskola,64.62,21
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Juglas vidusskola,83.68,107
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Katoļu ģimnāzija,88.18,11
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Ķengaraga vidusskola,60.41,39
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Kultūru vidusskola,82.95,55
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Lietuviešu vidusskola,71.35,34
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Natālijas Draudziņas vidusskola ,80.15,73
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Ostvalda vidusskola,69.99,67
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Pārdaugavas pamatskola,56.81,35
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Pļavnieku pamatskola,76.91,27
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Purvciema vidusskola,67.66,96
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Raiņa vidusskola,69.16,22
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Reinholda Šmēlinga vidusskola,48.21,12
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Reinholda Šmēlinga vidusskolas struktūrvienība - Rīgas Centrālcietums,61.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Rīnūžu vidusskola,64.82,45
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Sergeja Žoltoka pamatskola,59.72,9
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Tālmācības vidusskola,80.48,61
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Teikas vidusskola,83.30,99
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Ukraiņu vidusskola,54.45,11
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valdorfskola,81.35,46
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valsts 1. ģimnāzija,91.34,116
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valsts 2. ģimnāzija,92.15,112
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valsts 3. ģimnāzija,88.73,53
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valsts klasiskā ģimnāzija,74.01,131
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Valsts vācu ģimnāzija,90.91,58
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Ziepniekkalna vidusskola,76.76,38
Eksāmens angļu valodā 9.klasei 9. klase,Rīgas Zolitūdes ģimnāzija,75.91,95
Eksāmens angļu valodā 9.klasei 9. klase,Rojas vidusskola,79.83,32
Eksāmens angļu valodā 9.klasei 9. klase,Ropažu vidusskola,77.08,25
Eksāmens angļu valodā 9.klasei 9. klase,Rožupes pamatskola,80.00,3
Eksāmens angļu valodā 9.klasei 9. klase,Rubas pamatskola,61.42,6
Eksāmens angļu valodā 9.klasei 9. klase,Rubenes pamatskola,69.67,12
Eksāmens angļu valodā 9.klasei 9. klase,Rubeņu pamatskola,56.17,3
Eksāmens angļu valodā 9.klasei 9. klase,Rucavas pamatskola,76.00,6
Eksāmens angļu valodā 9.klasei 9. klase,Rudzātu vidusskola,69.33,6
Eksāmens angļu valodā 9.klasei 9. klase,Rugāju vidusskola,78.33,12
Eksāmens angļu valodā 9.klasei 9. klase,Rūjienas vidusskola,80.32,28
Eksāmens angļu valodā 9.klasei 9. klase,Rušonas pamatskola,86.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Š. Dubnova Rīgas Ebreju vidusskola,80.85,13
Eksāmens angļu valodā 9.klasei 9. klase,Sabiles pamatskola,71.29,7
Eksāmens angļu valodā 9.klasei 9. klase,Salacgrīvas vidusskola,76.76,31
Eksāmens angļu valodā 9.klasei 9. klase,Salas pamatskola,79.00,1
Eksāmens angļu valodā 9.klasei 9. klase,Salas vidusskola,78.13,16
Eksāmens angļu valodā 9.klasei 9. klase,"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",77.48,82
Eksāmens angļu valodā 9.klasei 9. klase,Salaspils pamatskola,56.21,48
Eksāmens angļu valodā 9.klasei 9. klase,Saldus pamatskola,78.57,44
Eksāmens angļu valodā 9.klasei 9. klase,Saldus vidusskola,78.97,55
Eksāmens angļu valodā 9.klasei 9. klase,Salgales pamatskola,69.80,5
Eksāmens angļu valodā 9.klasei 9. klase,Salienas vidusskola,63.00,10
Eksāmens angļu valodā 9.klasei 9. klase,Salnavas pamatskola,84.67,3
Eksāmens angļu valodā 9.klasei 9. klase,Saulkrastu novada vidusskola,80.50,38
Eksāmens angļu valodā 9.klasei 9. klase,Seces pamatskola,75.71,7
Eksāmens angļu valodā 9.klasei 9. klase,Sējas pamatskola,77.64,7
Eksāmens angļu valodā 9.klasei 9. klase,Sesavas pamatskola,64.70,5
Eksāmens angļu valodā 9.klasei 9. klase,Siguldas 1. pamatskola,75.20,40
Eksāmens angļu valodā 9.klasei 9. klase,Siguldas pilsētas vidusskola,79.03,46
Eksāmens angļu valodā 9.klasei 9. klase,Siguldas Valsts ģimnāzija,87.08,92
Eksāmens angļu valodā 9.klasei 9. klase,Sikšņu pamatskola,74.63,4
Eksāmens angļu valodā 9.klasei 9. klase,Skaistkalnes vidusskola,73.47,16
Eksāmens angļu valodā 9.klasei 9. klase,Šķibes pamatskola,74.00,4
Eksāmens angļu valodā 9.klasei 9. klase,Skrundas vidusskola,76.33,33
Eksāmens angļu valodā 9.klasei 9. klase,Skujenes pamatskola,66.33,3
Eksāmens angļu valodā 9.klasei 9. klase,Smārdes pamatskola,67.58,18
Eksāmens angļu valodā 9.klasei 9. klase,Smiltenes vidusskola,83.63,69
Eksāmens angļu valodā 9.klasei 9. klase,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",55.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Špoģu vidusskola,57.90,25
Eksāmens angļu valodā 9.klasei 9. klase,Stacijas pamatskola,71.25,4
Eksāmens angļu valodā 9.klasei 9. klase,Staiceles pamatskola,74.29,12
Eksāmens angļu valodā 9.klasei 9. klase,Stāķu pamatskola,52.50,6
Eksāmens angļu valodā 9.klasei 9. klase,Stalbes pamatskola,73.77,11
Eksāmens angļu valodā 9.klasei 9. klase,Staļģenes vidusskola,78.39,9
Eksāmens angļu valodā 9.klasei 9. klase,Stelpes pamatskola,77.08,6
Eksāmens angļu valodā 9.klasei 9. klase,Stopiņu pamatskola,61.79,7
Eksāmens angļu valodā 9.klasei 9. klase,Straupes pamatskola,80.88,8
Eksāmens angļu valodā 9.klasei 9. klase,Strautiņu pamatskola,68.33,9
Eksāmens angļu valodā 9.klasei 9. klase,Strenču pamatskola,62.69,8
Eksāmens angļu valodā 9.klasei 9. klase,Suntažu vidusskola,61.07,14
Eksāmens angļu valodā 9.klasei 9. klase,Sūnu pamatskola,85.30,5
Eksāmens angļu valodā 9.klasei 9. klase,Svētes pamatskola,63.06,8
Eksāmens angļu valodā 9.klasei 9. klase,"Tālmācības vidusskola ""Rīgas 1. vidusskola""",67.51,75
Eksāmens angļu valodā 9.klasei 9. klase,"Tālmācības vidusskola ""Rīgas Komercskola""",84.12,56
Eksāmens angļu valodā 9.klasei 9. klase,Talsu 2. vidusskola,72.85,79
Eksāmens angļu valodā 9.klasei 9. klase,Talsu Kristīgā vidusskola,84.18,25
Eksāmens angļu valodā 9.klasei 9. klase,Talsu novada vidusskola,66.71,7
Eksāmens angļu valodā 9.klasei 9. klase,Talsu pamatskola,73.40,25
Eksāmens angļu valodā 9.klasei 9. klase,Talsu Valsts ģimnāzija,75.15,62
Eksāmens angļu valodā 9.klasei 9. klase,Tārgales pamatskola,70.42,12
Eksāmens angļu valodā 9.klasei 9. klase,Taurupes pamatskola,82.33,3
Eksāmens angļu valodā 9.klasei 9. klase,Teteles pamatskola,63.72,9
Eksāmens angļu valodā 9.klasei 9. klase,Tilžas vidusskola,93.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Tirzas pamatskola,66.86,7
Eksāmens angļu valodā 9.klasei 9. klase,Tiskādu vidusskola,40.77,15
Eksāmens angļu valodā 9.klasei 9. klase,Torņakalna Privātā vidusskola,85.07,7
Eksāmens angļu valodā 9.klasei 9. klase,Trikātas pamatskola,62.86,7
Eksāmens angļu valodā 9.klasei 9. klase,Tukuma 2. vidusskola,79.85,53
Eksāmens angļu valodā 9.klasei 9. klase,Tukuma 3. pamatskola,68.15,17
Eksāmens angļu valodā 9.klasei 9. klase,Tukuma E. Birznieka-Upīša 1. pamatskola,80.50,21
Eksāmens angļu valodā 9.klasei 9. klase,Tukuma Raiņa Valsts ģimnāzija,85.07,63
Eksāmens angļu valodā 9.klasei 9. klase,Tumes pamatskola,62.17,6
Eksāmens angļu valodā 9.klasei 9. klase,Turlavas pamatskola,78.94,8
Eksāmens angļu valodā 9.klasei 9. klase,Ugāles vidusskola,78.37,15
Eksāmens angļu valodā 9.klasei 9. klase,Ulbrokas vidusskola,78.49,77
Eksāmens angļu valodā 9.klasei 9. klase,Umurgas pamatskola,77.20,5
Eksāmens angļu valodā 9.klasei 9. klase,Universum mūzikas un mākslas vidusskola,71.56,9
Eksāmens angļu valodā 9.klasei 9. klase,Užavas pamatskola,64.88,4
Eksāmens angļu valodā 9.klasei 9. klase,Uzvaras pamatskola,85.40,5
Eksāmens angļu valodā 9.klasei 9. klase,V. Plūdoņa Kuldīgas vidusskola,83.52,52
Eksāmens angļu valodā 9.klasei 9. klase,Vaboles vidusskola,86.67,3
Eksāmens angļu valodā 9.klasei 9. klase,Vaiņodes vidusskola,71.74,19
Eksāmens angļu valodā 9.klasei 9. klase,Valdemārpils vidusskola,80.50,15
Eksāmens angļu valodā 9.klasei 9. klase,Valkas Jāņa Cimzes ģimnāzija,74.94,31
Eksāmens angļu valodā 9.klasei 9. klase,Valles pamatskola,75.86,7
Eksāmens angļu valodā 9.klasei 9. klase,Valmieras 2. vidusskola,58.70,32
Eksāmens angļu valodā 9.klasei 9. klase,Valmieras 5. vidusskola,76.38,20
Eksāmens angļu valodā 9.klasei 9. klase,Valmieras Pārgaujas Valsts ģimnāzija,75.03,100
Eksāmens angļu valodā 9.klasei 9. klase,Valmieras Valsts ģimnāzija,85.72,70
Eksāmens angļu valodā 9.klasei 9. klase,Valmieras Viestura vidusskola,82.36,53
Eksāmens angļu valodā 9.klasei 9. klase,Vānes pamatskola,49.17,3
Eksāmens angļu valodā 9.klasei 9. klase,Vangažu vidusskola,67.00,35
Eksāmens angļu valodā 9.klasei 9. klase,Varakļānu vidusskola,81.39,18
Eksāmens angļu valodā 9.klasei 9. klase,Variņu pamatskola,71.21,7
Eksāmens angļu valodā 9.klasei 9. klase,Vārkavas vidusskola,78.81,8
Eksāmens angļu valodā 9.klasei 9. klase,Vārmes pamatskola,72.13,4
Eksāmens angļu valodā 9.klasei 9. klase,Vecpiebalgas vidusskola,73.82,19
Eksāmens angļu valodā 9.klasei 9. klase,Vecsaules pamatskola,67.07,15
Eksāmens angļu valodā 9.klasei 9. klase,Vecumnieku vidusskola,83.27,24
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 1. pamatskola,79.11,23
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 2. pamatskola,75.23,13
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 2. vidusskola,62.36,39
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 3. pamatskola,62.94,16
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 4. vidusskola,79.76,59
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils 6. vidusskola,74.75,36
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils Pārventas pamatskola,68.84,19
Eksāmens angļu valodā 9.klasei 9. klase,Ventspils Valsts 1. ģimnāzija,87.43,50
Eksāmens angļu valodā 9.klasei 9. klase,Verēmu pamatskola,65.75,2
Eksāmens angļu valodā 9.klasei 9. klase,Vērgales pamatskola,68.45,10
Eksāmens angļu valodā 9.klasei 9. klase,Vestienas pamatskola,58.67,3
Eksāmens angļu valodā 9.klasei 9. klase,Viduču pamatskola,69.80,5
Eksāmens angļu valodā 9.klasei 9. klase,Viesītes vidusskola,78.28,29
Eksāmens angļu valodā 9.klasei 9. klase,Viļakas Valsts ģimnāzija,81.14,7
Eksāmens angļu valodā 9.klasei 9. klase,Viļānu vidusskola,61.05,19
Eksāmens angļu valodā 9.klasei 9. klase,Vilces pamatskola,67.81,8
Eksāmens angļu valodā 9.klasei 9. klase,Vīpes pamatskola,71.50,1
Eksāmens angļu valodā 9.klasei 9. klase,Vircavas vidusskola,78.71,7
Eksāmens angļu valodā 9.klasei 9. klase,Z.A. Meierovica Kabiles pamatskola,66.81,8
Eksāmens angļu valodā 9.klasei 9. klase,Zaļenieku komerciālā un amatniecības vidusskola,76.94,9
Eksāmens angļu valodā 9.klasei 9. klase,Zantes pamatskola,60.75,8
Eksāmens angļu valodā 9.klasei 9. klase,Zasas vidusskola,67.40,10
Eksāmens angļu valodā 9.klasei 9. klase,Zaubes pamatskola,69.50,6
Eksāmens angļu valodā 9.klasei 9. klase,Zemgales vidusskola,76.44,26
Eksāmens angļu valodā 9.klasei 9. klase,Zemgales vidusskola,43.50,11
Eksāmens angļu valodā 9.klasei 9. klase,Zentas Mauriņas Grobiņas vidusskola,81.50,86
Eksāmens angļu valodā 9.klasei 9. klase,Ziemeļvalstu ģimnāzija,83.18,78
Eksāmens angļu valodā 9.klasei 9. klase,Ziemeru pamatskola,76.19,8
Eksāmens angļu valodā 9.klasei 9. klase,Zilupes vidusskola,35.83,3
Eksāmens angļu valodā 9.klasei 9. klase,Zirņu pamatskola,66.17,9
Eksāmens angļu valodā 9.klasei 9. klase,Zūru pamatskola,70.58,20
Eksāmens ekonomikā vidusskolai 12. klase,Āgenskalna Valsts ģimnāzija,86.76,2
Eksāmens ekonomikā vidusskolai 12. klase,Brocēnu vidusskola,60.78,1
Eksāmens ekonomikā vidusskolai 12. klase,Daugavpils 3. vidusskola,73.53,3
Eksāmens ekonomikā vidusskolai 12. klase,Daugavpils Valsts ģimnāzija,94.12,1
Eksāmens ekonomikā vidusskolai 12. klase,Dobeles Valsts ģimnāzija,81.37,1
Eksāmens ekonomikā vidusskolai 12. klase,Elejas vidusskola,66.67,1
Eksāmens ekonomikā vidusskolai 12. klase,Emīla Dārziņa mūzikas skola,67.65,1
Eksāmens ekonomikā vidusskolai 12. klase,Iecavas vidusskola,92.16,1
Eksāmens ekonomikā vidusskolai 12. klase,J.Pilsudska Daugavpils valsts poļu ģimnāzija,95.10,1
Eksāmens ekonomikā vidusskolai 12. klase,Jaunpiebalgas vidusskola,83.33,1
Eksāmens ekonomikā vidusskolai 12. klase,Jelgavas Valsts ģimnāzija,88.24,1
Eksāmens ekonomikā vidusskolai 12. klase,Latvijas Zinātņu tālmācības vidusskola,56.37,2
Eksāmens ekonomikā vidusskolai 12. klase,Liepājas Liedaga vidusskola,97.06,1
Eksāmens ekonomikā vidusskolai 12. klase,Liepājas Raiņa 6. vidusskola,87.25,2
Eksāmens ekonomikā vidusskolai 12. klase,Rēzeknes 3. vidusskola,70.10,4
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas 1. Tālmācības vidusskola,54.17,4
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas 10. vidusskola,86.76,2
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas 34. vidusskola,93.14,1
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas 84. vidusskola,48.04,1
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Juglas vidusskola,71.57,2
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Natālijas Draudziņas vidusskola ,63.73,1
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Purvciema vidusskola,90.20,1
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Tālmācības vidusskola,68.63,3
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Valsts 1. ģimnāzija,89.22,1
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Valsts 2. ģimnāzija,84.07,4
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Valsts klasiskā ģimnāzija,83.33,4
Eksāmens ekonomikā vidusskolai 12. klase,Rīgas Valsts vācu ģimnāzija,69.61,3
Eksāmens ekonomikā vidusskolai 12. klase,Špoģu vidusskola,84.80,2
Eksāmens ekonomikā vidusskolai 12. klase,"Tālmācības vidusskola ""Rīgas 1. vidusskola""",76.47,1
Eksāmens ekonomikā vidusskolai 12. klase,Tukuma 2. vidusskola,57.35,2
Eksāmens ekonomikā vidusskolai 12. klase,Valkas Jāņa Cimzes ģimnāzija,70.59,1
Eksāmens ekonomikā vidusskolai 12. klase,Valmieras tehnikums,80.88,2
Eksāmens franču valodā 9.klasei 9. klase,Rīgas Franču licejs,75.70,22
Eksāmens ģeogrāfijā vidusskolai 12. klase,Ādažu vidusskola,83.18,1
Eksāmens ģeogrāfijā vidusskolai 12. klase,Dobeles Valsts ģimnāzija,66.36,1
Eksāmens ģeogrāfijā vidusskolai 12. klase,Liepājas Raiņa 6. vidusskola,75.23,2
Eksāmens ģeogrāfijā vidusskolai 12. klase,Rīgas Natālijas Draudziņas vidusskola ,100,1
Eksāmens ģeogrāfijā vidusskolai 12. klase,Valmieras Valsts ģimnāzija,91.59,1
Eksāmens informātikā vidusskolai 12. klase,Aizkraukles Profesionālā vidusskola,56.82,1
Eksāmens informātikā vidusskolai 12. klase,Daugavpils 12. vidusskola,87.12,1
Eksāmens informātikā vidusskolai 12. klase,Ezernieku vidusskola,76.52,1
