Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
BAUSKAS NOVADS,4512903251,"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Īslīces pamatskola""",Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,400268,38,53,,,,,,6,,1,,,,1,1,,2,,,,,2,14,2,,,,,1,,1,,,,1,,,,,1,,,20,
BAUSKAS NOVADS,4513901295,Bauskas 2. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,400201,62,81,,,,,,8,,2,,,,1,3,,,,3,,,,,,,,,5,1,,1,2,,1,,,,,,,,,34,20
BAUSKAS NOVADS,4519901296,Bauskas Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,400201,69,97,,,,,,19,,2,,,1,1,2,,,,,,,,,,,,,4,1,,1,,,,,,,,,,,,35,31
BAUSKAS NOVADS,4520901298,Pamūšas speciālā pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,400260,37,63,,,,,,,18,1,,,,1,,,,,,,,1,4,1,,8,,2,1,,,,1,,25,,,,,,,,,
BEVERĪNAS NOVADS,4401901928,"Beverīnas novada pašvaldības Kauguru pagasta pirmsskolas izglītības iestāde ""Pasaciņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,964762,16,18,,,,,,2,,,,,1,,,,,,,,,1,11,1,,,,,,,1,,,,,,,,,,,1,,
BEVERĪNAS NOVADS,4411900650,Brenguļu sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,964746,11,19,,,,,,2,,,,,,,1,3,,,,,1,1,3,,,,,,1,,1,,,,,,,,,,,,6,
BEVERĪNAS NOVADS,4412900640,J. Endzelīna Kauguru pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,964762,25,46,,,,,,9,2,,,1,,,1,7,,,,,,,,,,,,,,,1,,1,,1,,,,,3,,1,19,
BEVERĪNAS NOVADS,4412901204,Trikātas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,964784,29,46,,,,,,12,,1,,,,,,4,,,,,1,1,6,,,,,1,1,,1,,1,1,,,,,,,,,16,
BROCĒNU NOVADS,4101902001,"Pirmsskolas izglītības iestāde ""Mūsmājas""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840605,18,18,,,,,,,,,,,,,,,,,,,,1,13,1,,,,,,,1,,,,,,,,1,,,1,,
BROCĒNU NOVADS,4101903032,"Brocēnu novada pirmsskolas izglītības iestāde ""Vālodzīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840644,8,9,,,,,,1,,,,,,,,,,,,,,1,5,,,,,,,,1,,,,,,,,,,,1,,
BROCĒNU NOVADS,4101903371,"Pirmsskolas izglītības iestāde ""Varavīksne""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,840605,17,18,,,,,,1,,,,,,,,,,,,,,1,11,1,,,,,,,2,,,,,,,,,1,1,,,
BROCĒNU NOVADS,4112900013,Remtes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840680,19,33,,,,,,5,,,,,,,1,2,,,,,,1,2,,,,1,1,1,,1,,1,1,1,,,,,,,,15,
BROCĒNU NOVADS,4112900078,Gaiķu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840652,20,31,,,,,,6,,1,,,,,,,,,,,,1,4,,,,,1,1,,1,,1,,,,,,,,,,15,
BROCĒNU NOVADS,4112900414,Blīdenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,840644,19,32,,,,,,10,,1,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,15,
BROCĒNU NOVADS,4113901049,Brocēnu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,840605,74,88,,,,,,10,,1,,,1,1,2,,,,,,,,,,,,3,5,1,,1,,1,,,,,,,,,,25,37
BURTNIEKU NOVADS,4401901992,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Sienāzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,967148,7,11,,,,,,,,,,,,,,,,,,,1,1,6,1,,,,,,,1,,,,,,,,,,,1,,
BURTNIEKU NOVADS,4401902969,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Namiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,967170,10,12,,,,,,,,,,,,,,,,,,,1,1,7,1,,,,,,,1,,,,,,,,,,,1,,
BURTNIEKU NOVADS,4401903038,"Burtnieku novada pašvaldības pirmsskolas izglītības iestāde ""Burtiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,967190,30,33,,,,,,3,,,,,,1,,,,,,,,2,18,3,,,,,,,2,,1,1,,,,,1,,,1,,
BURTNIEKU NOVADS,4412900636,Matīšu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,967170,21,33,,,,,,10,,1,,,,,,2,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,16,
BURTNIEKU NOVADS,4412900645,Rencēnu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,967178,31,50,,,,,,8,,1,,1,,,,4,,,3,,1,1,7,2,,,,,1,,1,,1,1,,,,,,2,,,16,
BURTNIEKU NOVADS,4412903106,Burtnieku Ausekļa pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,967148,18,39,,,,,,7,,2,,,,,,9,,,1,,,,,,,,,,1,,1,,,,,,,,,2,,,16,
CARNIKAVAS NOVADS,4301901828,"Carnikavas pirmsskolas izglītības iestāde ""Riekstiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,805200,36,36,,,,,,,,,,,,1,,,,,,,,2,26,2,,,,,,,2,,,1,,,,,,1,,1,,
CARNIKAVAS NOVADS,4301903178,"Carnikavas novada pirmsskolas izglītības iestāde ""Piejūra""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,805200,6,6,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,1,,,,,,,,,,,1,,
CARNIKAVAS NOVADS,4312901110,Carnikavas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,805200,58,95,,,,,,13,,,,,,1,,12,,,10,1,,,,,,,2,,1,,1,,1,,,,1,9,,3,,,39,1
CESVAINES NOVADS,4401900086,"Cesvaines pirmsskola ""Brīnumzeme""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,700807,17,18,,,,,,,,,,,,,,,,,,,,1,11,1,,,,,,,2,,,1,,,,,,1,,1,,
CESVAINES NOVADS,4413900133,Cesvaines vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,700807,41,56,,,,,,11,,1,,,,,,1,,,,,,,,,,,,2,1,,1,,,,,,,,,2,,,18,19
CĒSU NOVADS,4401901627,Cēsu pilsētas 1. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,420201,12,12,,,,,,,,,,,,,,,,,,,1,,8,1,,,,,,,1,,,,,,,,,,,1,,
CĒSU NOVADS,4401901628,Cēsu pilsētas 4. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,420201,22,22,,,,,,1,,,,,,,,,,,,,1,1,16,1,,,,,,,1,,,,,,,,,,,1,,
CĒSU NOVADS,4401901629,Cēsu pilsētas 5. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,420201,29,29,,,,,,,,,,,,,,,,,,,1,2,22,1,,,,,,,1,,1,,,,,,,,,1,,
CĒSU NOVADS,4401901630,Cēsu pilsētas 3. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,420201,28,28,,,,,,,,,,,,,,,,,,,1,1,21,1,,,,,,,2,,1,,,,,,,,,1,,
CĒSU NOVADS,4401903333,Līvu pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,420201,18,19,,,,,,,,,,,,,,,,,,,1,2,12,1,,,,,,,1,,1,,,,,,,,,1,,
CĒSU NOVADS,4411901845,Cēsu pilsētas Pastariņa sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,420201,29,35,,,,,,2,,1,,,,1,,,,,1,,,,,,,,,,1,,1,,,,,,,,,1,,,27,
CĒSU NOVADS,4412803216,Cēsu Jaunā pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Juridiska vai fiziska persona,420201,28,29,,,,,,,,,,,,,,,,,2,,,1,6,1,,,4,,1,,,,,,,,,,,1,,,13,
CĒSU NOVADS,4412900314,Cēsu 1. pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,420201,52,56,,,,,,2,,1,,,,,,,,,,,,,,,,,,2,1,,1,,1,,,,,,,,,,48,
CĒSU NOVADS,4412900319,Rāmuļu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,420201,18,34,,,,,,1,2,1,,,,,,6,,,,,1,1,4,1,,,,1,1,,1,,,,,,,,,,,,14,
CĒSU NOVADS,4412900331,Cēsu 2. pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,420201,53,62,,,,,,5,,,1,,2,1,1,,,,,,,1,8,1,,,,,1,,2,,,,5,,,,,3,,,31,
CĒSU NOVADS,4413903078,Cēsu Pilsētas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,420201,59,86,,,,,,11,,2,,,2,,1,,,,1,,1,1,2,1,,,,,1,,2,,2,1,,,,,,6,,,31,21
CĒSU NOVADS,4419900342,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,420201,33,39,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,8,24
CĒSU NOVADS,4419902648,Cēsu Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,420201,51,60,,,,,,4,,1,,,2,1,2,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,16,27
CĒSU NOVADS,4424903139,Cēsu Bērzaines pamatskola-attīstības centrs,Speciālās izglītības iestāde,Internātskola - attīstības centrs,Pašvaldība ,420201,77,107,,,,,,2,17,1,,,1,,,6,,,3,,1,2,20,2,,,,,1,,9,,1,2,,,,,,4,,,35,
CĒSU NOVADS,4431301248,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Kultūras ministrija,420201,75,128,,1,,,,,,1,,,1,,24,,1,,,,,,,,40,59,,,1,,,,,,,,,,,,,,,
CIBLAS NOVADS,4201900490,Ciblas pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,684948,6,7,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,,
CIBLAS NOVADS,4201902773,Ciblas novada pašvaldības Blontu pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,684944,8,10,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,1,,,,,,,,,,,1,,
CIBLAS NOVADS,4212900451,Pušmucovas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,684990,11,15,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,10,
CIBLAS NOVADS,4213900473,Ciblas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,684948,22,34,,,,,,5,4,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,1,,,,,,,,12,7
DAGDAS NOVADS,4201900585,"Dagdas pilsētas pirmsskolas izglītības iestāde ""Saulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,601009,24,24,,,,,,1,,,,,,,,,,,,,,3,16,1,,,,,,,1,,,,,,,,,1,,1,,
DAGDAS NOVADS,4201900587,"Andrupenes pagasta pirmsskolas izglītības iestāde ""Avotiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,601042,5,6,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,,
DAGDAS NOVADS,4211903220,Šķaunes sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,601092,6,13,,,,,,4,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,6,
DAGDAS NOVADS,4212900568,Andrupenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,601042,12,26,,,,,,8,,,,,,,,4,,,,,,,,,,,,1,1,,,,,,,,,,,,,,12,
DAGDAS NOVADS,4213900572,Ezernieku vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,601056,22,35,,,,,,9,,1,,,,1,,,,,,,,,2,,,,2,2,1,,,,,1,,,,,,,,,1,15
DAGDAS NOVADS,4213900573,Dagdas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,601009,41,56,,,,,,12,,1,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,2,,,20,17
DAGDAS NOVADS,4222900579,Aleksandrovas pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,601076,32,58,,,,,,,20,1,,,,1,,,,,2,,,,,1,,,,2,1,,,,1,,28,1,,,,,,,,
DAUGAVPILS,2701901783,Daugavpils pilsētas 23. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,29,32,,,,,,2,,,,,,,,,,,,,,3,24,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901784,Daugavpils pilsētas 32. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,30,34,,,,,,1,,,,,,,,,,,,,,3,23,,,,,,,,2,,,1,,,,,,3,,1,,
DAUGAVPILS,2701901785,Daugavpils pilsētas 30. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,17,18,,,,,,1,,,,,,,,,,,,,,1,13,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901786,Daugavpils pilsētas 21. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,28,31,,,,,,1,,,,,,,,,,,,,,3,24,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901787,Daugavpils pilsētas 22. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,13,15,,,,,,1,,,,,,,,,,,,,,2,9,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901788,Daugavpils pilsētas 24. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,35,35,,,,,,1,,,,,,,,,,,,,,2,29,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901789,Daugavpils pilsētas 27. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,29,31,,,,,,1,,,,,,,,,,,,,,2,26,,,,,,,,1,,,,,,,,,1,,,,
DAUGAVPILS,2701901790,Daugavpils pilsētas 28. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,6,6,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,
DAUGAVPILS,2701901791,Daugavpils pilsētas 29. poļu pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,16,16,,,,,,,,,,,,,,,,,,,,1,12,,,,,,,,1,,,,,,,,1,,,1,,
DAUGAVPILS,2701901793,Daugavpils pilsētas 26. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,26,28,,,,,,2,,,,,,,,,,,,,,2,19,1,,,,,,,1,,1,,,,,,,1,,1,,
DAUGAVPILS,2701901795,Daugavpils pilsētas 14. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,31,33,,,,,,2,,,,,,,,,,,,,,3,25,1,,,,,,,1,,,,,,,,,,1,,,
DAUGAVPILS,2701901796,Daugavpils pilsētas 1. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,29,30,,,,,,1,,,,,,,,,,,,,,2,24,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901797,Daugavpils pilsētas 3. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,30,38,,,,,,8,,,,,,,,,,,,,,2,25,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901798,Daugavpils pilsētas 5. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,28,29,,,,,,1,,,,,,,,,,,,,,2,23,,,,,,,,1,,,,,,,,,1,1,,,
DAUGAVPILS,2701901800,Daugavpils pilsētas 12. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,13,15,,,,,,1,,,,,,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901802,Daugavpils pilsētas 11. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,6,6,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,1,,
DAUGAVPILS,2701901803,Daugavpils pilsētas 10. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,17,19,,,,,,1,,,,,,,,,,,,,,1,14,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901804,Daugavpils pilsētas 8. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,11,11,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901805,Daugavpils pilsētas 20. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,25,27,,,,,,2,,,,,,,,,,,,,,2,20,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701901806,Daugavpils pilsētas 18. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,22,24,,,,,,1,,,,,,,,,,,,,,1,17,,,,,,,,3,,,,,,,,,1,,1,,
DAUGAVPILS,2701901807,Daugavpils pilsētas 17. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,15,18,,,,,,1,,,,,,,,,,,,,,1,12,,,,,,,,2,,,,,,,,1,,,1,,
DAUGAVPILS,2701902620,Daugavpils 7. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,29,30,,,,,,,,,,,,,,,,,,,,3,24,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701902758,Daugavpils pilsētas 13. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,14,17,,,,,,3,,,,,,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701902787,Daugavpils Ruģeļu pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,28,28,,,,,,,,,,,,,,,,,,,,2,19,4,,,,,,,1,,,,,,,,,1,,1,,
DAUGAVPILS,2701903367,Daugavpils pilsētas 9. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,16,18,,,,,,1,,,,,,,,,,,,,,1,8,1,,,,,,,2,,,3,,,,,,1,1,,,
DAUGAVPILS,2701903391,Daugavpils pilsētas 15. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,14,16,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,4,,,1,,,,,1,,,1,,
DAUGAVPILS,2701903402,Daugavpils pilsētas 4. pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,050000,17,19,,,,,,1,,,,,,1,,,,,,,,1,12,,,,,,,,2,,,,,,,,,1,,1,,
DAUGAVPILS,2712901237,Daugavpils Saskaņas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,050000,41,54,,,,,,7,,1,,,,2,,,,,2,1,,,,,,,7,,1,,1,,1,,,,,,,3,,,28,
DAUGAVPILS,2712902175,Daugavpils 11. pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,050000,28,46,,,,,,9,,1,,,,,,,,,1,1,,,,,,,,,,,1,,1,1,,,,,,3,,1,27,
DAUGAVPILS,2712902233,Daugavpils Vienības pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,050000,43,61,,,,,,8,,1,,,3,1,,,,,,1,,,,,,,13,,1,,1,,1,,,,,,,4,,,27,
DAUGAVPILS,2713900714,Daugavpils 10. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,58,72,,1,,,,8,,1,,,,1,,,,,,,,,,,,,7,1,,,1,,,,,,,,,3,,1,22,26
DAUGAVPILS,2713901037,Daugavpils 3. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,70,116,,,,,,7,,1,,,3,1,1,,,,1,1,,,,,,,,5,1,,1,,1,,,,,,,,,,57,36
DAUGAVPILS,2713901135,Daugavpils 13. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,79,110,,1,,,,15,,1,,,,1,,4,,,2,1,,,,,,,,4,1,,1,,1,,,,,,,,,,48,30
DAUGAVPILS,2713901176,Daugavpils 15. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,54,64,,,,,,7,,1,,,,1,,1,,,,,,,,,,,,,1,,1,,1,,,,,,,3,,,30,18
DAUGAVPILS,2713901222,J. Raiņa Daugavpils 6. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,42,64,,,,,,7,,1,,,,1,,5,,,3,1,,1,6,,,,,,,,1,,1,,,,,,,3,,,14,20
DAUGAVPILS,2713901229,Daugavpils Tehnoloģiju vidusskola - licejs,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,68,92,,,,,,8,,2,,,4,1,,3,,,1,2,,,,,,,,1,1,,1,,,,,,,,,5,,,46,17
DAUGAVPILS,2713901231,Daugavpils 16. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,59,77,,3,,,,12,,1,,,,1,,,,,,,,,,,,,,1,1,,1,,1,1,,,,,,,,,55,
DAUGAVPILS,2713901235,Daugavpils 17. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,53,84,,,,,,9,,1,,,6,1,,3,,,,1,,,,,,,,,1,,1,,1,,,,,,,4,,,26,30
DAUGAVPILS,2713901238,Daugavpils 9. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,59,76,,,,,,5,,1,,,2,1,,1,,,,,,,,,,,9,,1,,1,,1,,,,,,,6,,,28,20
DAUGAVPILS,2713901240,Daugavpils 12. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,55,74,,,,,,8,,1,,,1,2,,,,,2,1,,,,,,,,,1,,1,,1,,,,,,,4,,,23,29
DAUGAVPILS,2713902243,Daugavpils Centra vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,050000,56,80,,,,,,14,,1,,,3,1,,,,,2,,,,,,,,3,,,,1,,1,,,,,,,4,,1,25,24
DAUGAVPILS,2716901232,J.Pilsudska Daugavpils valsts poļu ģimnāzija,Vispārējās izglītības iestāde,Ģimnāzija,Pašvaldība ,050000,44,67,,,,,,5,,1,,,2,1,,8,,,3,1,,,,,,,,,,,1,,1,1,,,,,,4,,1,28,10
DAUGAVPILS,2719902518,Daugavpils Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,050000,37,65,,1,,,,7,,1,,,3,1,,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,19,29
